programTime (s),relativeTime (s),torque (ozin),torque (gfcm),torque (inlb),torque (mNm)
1.341,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.463,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.585,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.707,0.0,-0.0,-0.0,-0.0,-0.0
1.828,0.0,-0.0,-0.0,-0.0,-0.0
1.95,0.0,0.0,0.0,0.0,0.0
2.071,0.0,0.0,0.0,0.0,0.0
2.193,0.0,0.0,0.0,0.0,0.0
2.314,0.0,0.0,0.0,0.0,0.0
2.436,0.0,0.0,0.0,0.0,0.0
2.556,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.677,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.798,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.919,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
3.04,0.0,0.0,0.0,0.0,0.0
3.162,0.0,0.0,0.0,0.0,0.0
3.282,0.0,0.0,0.0,0.0,0.0
3.403,0.0,0.0,0.0,0.0,0.0
3.525,0.0,0.0,0.0,0.0,0.0
3.646,0.0,0.0,0.0,0.0,0.0
3.767,0.0,0.0,0.0,0.0,0.0
3.889,0.0,0.0,0.0,0.0,0.0
4.009,0.0,0.0,0.0,0.0,0.0
4.131,0.0,0.0,0.0,0.0,0.0
4.252,0.0,0.0,0.0,0.0,0.0
4.374,0.0,0.0,0.0,0.0,0.0
4.495,0.0,0.0,0.0,0.0,0.0
4.616,0.0,0.0,0.0,0.0,0.0
4.737,0.0,0.0,0.0,0.0,0.0
4.858,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
4.979,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.1,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.221,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.342,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.463,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.583,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.705,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.826,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.947,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.068,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.189,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.309,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.431,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.552,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.673,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.794,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
6.915,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
7.035,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
7.157,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
7.278,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.399,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.52,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.641,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.762,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.883,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.004,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.125,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.246,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
8.367,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
8.487,0.0,0.029999999329447746,2.1602336706750136,0.0018749999370904844,0.21184655526486038
8.608,0.0,0.029999999329447746,2.1602336706750136,0.0018749999370904844,0.21184655526486038
8.729,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
8.849,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
8.97,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.091,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.211,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.332,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.453,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.573,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.694,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.815,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.935,0.0,0.07000000029802322,5.040545365699994,0.004374999969626451,0.4943086421045065
10.055,0.0,0.10000000149011612,7.2007791704999695,0.006250000023132256,0.7061552105225325
10.176,0.0,0.14000000059604645,10.081090731399987,0.008749999939252903,0.988617284209013
10.297,0.0,0.20000000298023224,14.401558340999939,0.012500000046264512,1.412310421045065
10.417,0.0,0.25999999046325684,18.722024877600195,0.016249999221953557,1.8360034526557922
10.537,0.0,0.3199999928474426,23.042492487200146,0.01999999932896517,2.259696589491844
10.658,0.0,0.38999998569488525,28.08303731640029,0.024374998832930338,2.754005178983688
10.778,0.0,0.46000000834465027,33.123584291599826,0.028750000199540635,3.248313978926182
10.899,0.0,0.5400000214576721,38.88420848639956,0.033750000963104494,3.8132382315244673
11.02,0.0,0.6100000143051147,43.9247533155997,0.03812500046706966,4.307546821016311
11.141,0.0,0.6700000166893005,48.24522092519965,0.04187500057408127,4.731239957852363
11.261,0.0,0.7300000190734863,52.565688534799605,0.04562500068109288,5.154933094688415
11.382,0.0,0.7799999713897705,56.16607463280058,0.048749997665860675,5.508010357967376
11.503,0.0,0.8199999928474426,59.04638780320014,0.051249998978965164,5.790472589491844
11.623,0.0,0.8600000143051147,61.9267009735997,0.05375000029206966,6.072934821016312
11.744,0.0,0.8999999761581421,64.80700985200048,0.0562499978798839,6.35539663163948
11.865,0.0,0.9300000071525574,66.96724580279985,0.05812499979603483,6.567243410508156
11.985,0.0,0.9599999785423279,69.12747746160044,0.0599999979868955,6.779089768475532
12.105,0.0,0.9900000095367432,71.2877134123998,0.061874999903046436,6.990936547344208
12.226,0.0,1.0199999809265137,73.44794507120038,0.06374999809390712,7.202782905311584
12.347,0.0,1.059999942779541,76.32825394960116,0.06624999568172135,7.485244715934753
12.468,0.0,1.090000033378601,78.48849419239932,0.06812500132316254,7.697091915704727
12.589,0.0,1.1200000047683716,80.6487258511999,0.06999999951402322,7.908938273672104
12.708,0.0,1.149999976158142,82.80895751000048,0.0718749977048839,8.12078463163948
12.829,0.0,1.190000057220459,85.68927497239882,0.07437500274327864,8.403247284065246
12.95,0.0,1.2200000286102295,87.8495066311994,0.07625000093413932,8.615093642032623
13.071,0.0,1.25,90.00973829,0.078124999125,8.82694
13.191,0.0,1.2899999618530273,92.89004716840077,0.08062499671281423,9.109401810623169
13.312,0.0,1.3200000524520874,95.05028741119892,0.08250000235425542,9.321249010393142
13.432,0.0,1.350000023841858,97.2105190699995,0.0843750005451161,9.533095368360518
13.552,0.0,1.3700000047683716,98.65067350919989,0.08562499933902322,9.674326273672104
13.673,0.0,1.3899999856948853,100.09082794840029,0.08687499813293033,9.815557178983688
13.794,0.0,1.399999976158142,100.81090516800047,0.0874999975298839,9.88617263163948
13.914,0.0,1.4199999570846558,102.25105960720087,0.088749996323791,10.027403536951065
14.034,0.0,1.4199999570846558,102.25105960720087,0.088749996323791,10.027403536951065
14.155,0.0,1.4199999570846558,102.25105960720087,0.088749996323791,10.027403536951065
14.275,0.0,1.4199999570846558,102.25105960720087,0.088749996323791,10.027403536951065
14.396,0.0,1.409999966621399,101.53098238760067,0.08812499692683745,9.956788084295273
14.516,0.0,1.399999976158142,100.81090516800047,0.0874999975298839,9.88617263163948
14.637,0.0,1.3799999952316284,99.37075072880009,0.08624999873597677,9.744941726327896
14.757,0.0,1.3600000143051147,97.9305962895997,0.08499999994206967,9.603710821016312
14.877,0.0,1.340000033378601,96.4904418503993,0.08375000114816254,9.462479915704726
14.998,0.0,1.3200000524520874,95.05028741119892,0.08250000235425542,9.321249010393142
15.119,0.0,1.2999999523162842,93.61012438800097,0.0812499961097678,9.18001726327896
15.239,0.0,1.2799999713897705,92.16996994880058,0.07999999731586067,9.038786357967377
15.36,0.0,1.2599999904632568,90.72981550960019,0.07874999852195355,8.897555452655793
15.48,0.0,1.25,90.00973829,0.078124999125,8.82694
15.601,0.0,1.2300000190734863,88.5695838507996,0.07687500033109287,8.685709094688415
15.721,0.0,1.2100000381469727,87.12942941159922,0.07562500153718577,8.54447818937683
15.842,0.0,1.190000057220459,85.68927497239882,0.07437500274327864,8.403247284065246
15.963,0.0,1.1699999570846558,84.24911194920087,0.073124996498791,8.262015536951065
16.082,0.0,1.1399999856948853,82.08888029040028,0.07124999830793033,8.050169178983689
16.203,0.0,1.1100000143051147,79.9286486315997,0.06937500011706967,7.838322821016312
16.324,0.0,1.0800000429153442,77.76841697279912,0.06750000192620899,7.626476463048935
16.445,0.0,1.0499999523162842,75.60817673000096,0.0656249962847678,7.414629263278961
16.565,0.0,1.0099999904632568,72.7278678516002,0.06312499869695355,7.132167452655792
16.686,0.0,0.9700000286102295,69.84755897319941,0.06062500110913932,6.849705642032623
16.806,0.0,0.9300000071525574,66.96724580279985,0.05812499979603483,6.567243410508156
16.926,0.0,0.8999999761581421,64.80700985200048,0.0562499978798839,6.35539663163948
17.047,0.0,0.8600000143051147,61.9267009735997,0.05375000029206966,6.072934821016312
17.168,0.0,0.8199999928474426,59.04638780320014,0.051249998978965164,5.790472589491844
17.289,0.0,0.7900000214576721,56.88615614439956,0.049375000788104494,5.578626231524467
17.41,0.0,0.75,54.005842974,0.046874999475,5.296164
17.529,0.0,0.7099999785423279,51.125529803600436,0.0443749981618955,5.013701768475532
17.65,0.0,0.6700000166893005,48.24522092519965,0.04187500057408127,4.731239957852363
17.771,0.0,0.6299999952316284,45.36490775480009,0.039374999260976776,4.448777726327896
17.892,0.0,0.5899999737739563,42.48459458440053,0.03687499794787229,4.166315494803428
18.013,0.0,0.5400000214576721,38.88420848639956,0.033750000963104494,3.8132382315244673
18.132,0.0,0.47999998927116394,34.56373873080022,0.02999999899344775,3.389544884237766
18.253,0.0,0.4300000071525574,30.96335048679985,0.02687500014603483,3.036467410508156
18.374,0.0,0.3700000047683716,26.642882877199902,0.02312500003902322,2.612774273672104
18.494,0.0,0.3100000023841858,22.32241526759995,0.01937499993201161,2.189081136836052
18.615,0.0,0.25,18.001947658,0.015624999825,1.765388
18.735,0.0,0.20000000298023224,14.401558340999939,0.012500000046264512,1.412310421045065
18.855,0.0,0.15000000596046448,10.801169023999877,0.009375000267529025,1.0592328420901298
18.976,0.0,0.10999999940395355,7.9208569266000115,0.006874999885747097,0.776770715790987
19.097,0.0,0.07000000029802322,5.040545365699994,0.004374999969626451,0.4943086421045065
19.218,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
19.338,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
19.459,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
19.58,0.0,0.0,0.0,0.0,0.0
19.701,0.0,0.0,0.0,0.0,0.0
19.822,0.0,0.0,0.0,0.0,0.0
19.943,0.0,0.0,0.0,0.0,0.0
20.065,0.0,0.0,0.0,0.0,0.0
20.186,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.306,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.427,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.548,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.67,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.791,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
20.912,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.032,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.153,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.275,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.396,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.517,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.638,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.76,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
21.88,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
22.001,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
22.122,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
22.244,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
22.365,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
22.486,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
